date,description,url,featured
2020-01-23,"First two confirmed cases of COVID-19 in Hong Kong announced between the late hours of the 22nd and early hours of the 23rd.","https://www.info.gov.hk/gia/general/202001/23/P2020012300914.htm",0
2020-01-25,"Hong Kong raises response level to virus outbreak to ’emergency’ – the highest warning tier, suspends school classes, and cancels marathon","https://www.scmp.com/news/hong-kong/health-environment/article/3047645/china-coronavirus-hong-kong-students-get-two-more",0
2020-01-30,"Enhanced measures to stop the novel coronavirus’ spread announced. High-speed rail service between Hong Kong and mainland China is suspended. All cross-border ferry services, flights and cross-border bus services from mainland China are reduced by 50%. Half of the city’s border checkpoints are closed.","https://www.scmp.com/news/hong-kong/health-environment/article/3047907/china-coronavirus-hong-kong-government-deny-entry",0
2020-01-29,"Facilities overseen by the Leisure and Cultural Services Department (LCSD), including all public museums, libraries and sports centres and venues, closed.","https://www.lcsd.gov.hk/clpss/en/webApp/NewsDetails.do?id=14683",0
2020-02-03,"6,500 medical staff to go on strike to pressure the government to close its border with China","https://www.dimsumdaily.hk/6500-medical-staff-to-go-on-strike-on-3rd-february-to-pressure-the-government-to-close-its-border-with-china/",0
2020-02-04,"Hong Kong reports first death from COVID-19","https://www.straitstimes.com/asia/east-asia/hong-kong-reports-first-death-from-coronavirus",0
2020-02-07,"Hong Kong unveils virus quarantine plans, with jail for dodgers.","https://hongkongfp.com/2020/02/07/hong-kong-unveils-virus-quarantine-plans-jail-dodgers/",0
2020-02-27,"Economic relief in the form of: $10,000 cash payout to Hong Kong permanent residents aged 18 or above, reduction of salaries tax under personal assessment for 2019-20 assessment year by 100%, subject to ceiling of $20,000, waiving of rates for domestic properties for four quarters of 2020-21, subject to a $1,500 ceiling per quarter, and other economic plans","https://www.budget.gov.hk/2020/eng/nt.html",0
2020-03-01,"Cheung Chau Bun Festival cancelled","https://www.dimsumdaily.hk/bun-snatching-event-cancelled-at-the-cheung-chau-bun-festival/",0
2020-03-11,"HKUST Develops New Smart Anti-Microbial Coating in the combat of COVID-19 in public places like schools, shopping malls and school buses.","https://web.archive.org/web/20200510053302/https://www.ust.hk/news/research-and-innovation/hkust-develops-new-smart-anti-microbial-coating-fight-against-covid-19",0
2020-03-24,"Hong Kong closes its border to all incoming non-residents arriving from overseas. Transiting through Hong Kong is no longer allowed either. All returning residents, regardless of point of departure, are subject to the Compulsory Quarantine Order, which required all to stay at a reported quarantine premise (either home or hotel) for 14 days.","https://www.info.gov.hk/gia/general/202003/24/P2020032400050.htm",0
2020-03-29,"Hong Kong bans public gatherings of more than four people. Restaurants required to operate at half their capacity and to set tables at least 1.5 meters apart.","https://www.reuters.com/article/us-china-health-hongkong/hong-kong-bans-public-gatherings-of-more-than-four-people-idUSKBN21E1MW",0
2020-04-01,"Karaokes, night clubs and mahjong parlours to close from 3pm for 14 days","https://www.dimsumdaily.hk/karaokes-mahjong-parlours-and-massage-parlours-to-close-from-3pm-today-for-14-days/",0
2020-04-03,"All pubs and bars ordered to close for 14 days.","https://www.news.gov.hk/eng/2020/04/20200402/20200402_195740_071.html",0
2020-04-23,"Social distancing rules extended by 14 days.","https://hongkongfp.com/2020/04/21/breaking-hong-kong-social-distancing-rules-extended-for-14-days/",0
2020-05-06,"Hong Kong Public Libraries has a partial reopening of some of its locations.","https://web.archive.org/web/20200503054609/https://www.hkpl.gov.hk/en/library-notices/re-openingofvenues_s3bmvbuf4uemg9h4l0kdh9vhut.html",0
2020-05-08,"Hong Kong to relax business restrictions with gathering limit upped to 8 people","https://hongkongfp.com/2020/05/05/breaking-coronavirus-hong-kong-relaxes-business-restrictions-as-gathering-limit-upped-to-8-people/",0
2020-05-27,"Schools resume classes in stages from 27 May, starting with secondary schools and moving progressively to younger ages.","https://hongkongfp.com/2020/05/05/breaking-coronavirus-hong-kong-relaxes-business-restrictions-as-gathering-limit-upped-to-8-people/",0
2020-06-02,"Hong Kong extends social-distancing curbs including gathering ban.","https://www.scmp.com/news/hong-kong/health-environment/article/3087082/coronavirus-four-new-cases-same-housing-estate",0
2020-06-13,"Ocean park reopens, with others like Disneyland, trade fairs, and conventions set to open soon after.","https://www.scmp.com/news/hong-kong/hong-kong-economy/article/3087984/ocean-park-disneyland-reopen-soon-commerce",0
2020-06-19,"Public gatherings of up to 50 people allowed.","https://www.bloomberg.com/news/articles/2020-06-16/hong-kong-will-detail-relaxed-social-distancing-rules-tuesday#:~:text=Hong%20Kong%20will%20further%20relax,story%20in%20containing%20Covid%2D19.",0
