date,cases,deaths
2020-02-11,1,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,1,0
2020-02-25,3,0
2020-02-26,2,0
2020-02-27,2,0
2020-02-28,3,0
2020-02-29,1,0
2020-03-01,4,0
2020-03-02,12,0
2020-03-03,6,0
2020-03-04,18,0
2020-03-05,14,0
2020-03-06,24,0
2020-03-07,15,0
2020-03-08,22,0
2020-03-09,53,2
2020-03-10,92,1
2020-03-11,183,4
2020-03-12,164,6
2020-03-13,135,6
2020-03-14,150,11
2020-03-15,165,9
2020-03-16,233,16
2020-03-17,311,23
2020-03-18,355,26
2020-03-19,332,25
2020-03-20,426,45
2020-03-21,350,46
2020-03-22,437,53
2020-03-23,687,56
2020-03-24,633,88
2020-03-25,760,116
2020-03-26,766,123
2020-03-27,817,126
2020-03-28,576,120
2020-03-29,596,141
2020-03-30,867,152
2020-03-31,935,178
2020-04-01,979,189
2020-04-02,1070,195
2020-04-03,980,190
2020-04-04,767,225
2020-04-05,633,196
2020-04-06,858,195
2020-04-07,951,221
2020-04-08,874,232
2020-04-09,800,198
2020-04-10,619,174
2020-04-11,519,165
2020-04-12,501,169
2020-04-13,596,170
2020-04-14,595,143
2020-04-15,659,145
2020-04-16,574,140
2020-04-17,580,109
2020-04-18,400,116
2020-04-19,395,115
2020-04-20,431,97
2020-04-21,466,103
2020-04-22,399,111
2020-04-23,520,77
2020-04-24,378,75
2020-04-25,333,60
2020-04-26,311,63
2020-04-27,418,53
2020-04-28,312,59
2020-04-29,428,51
2020-04-30,424,44
2020-05-01,354,43
2020-05-02,247,53
2020-05-03,167,43
2020-05-04,248,38
2020-05-05,216,33
2020-05-06,266,42
2020-05-07,273,28
2020-05-08,206,29
2020-05-09,128,25
2020-05-10,126,27
2020-05-11,162,23
2020-05-12,195,15
2020-05-13,204,12
2020-05-14,158,18
2020-05-15,132,17
2020-05-16,74,10
2020-05-17,78,15
2020-05-18,112,13
2020-05-19,129,19
2020-05-20,141,16
2020-05-21,156,12
2020-05-22,82,8
2020-05-23,65,6
2020-05-24,50,6
2020-05-25,58,9
2020-05-26,66,10
2020-05-27,84,8
2020-05-28,75,9
2020-05-29,56,5
2020-05-30,39,7
2020-05-31,38,5
2020-06-01,49,6
2020-06-02,49,7
2020-06-03,79,6
2020-06-04,58,6
2020-06-05,45,2
2020-06-06,47,3
2020-06-07,45,5
2020-06-08,57,8
2020-06-09,71,2
2020-06-10,52,5
2020-06-11,47,5
2020-06-12,53,5
2020-06-13,39,1
2020-06-14,31,2
2020-06-15,41,2
2020-06-16,47,1
2020-06-17,42,1
2020-06-18,46,0
2020-06-19,37,2
2020-06-20,29,2
2020-06-21,27,2
2020-06-22,51,3
2020-06-23,48,0
2020-06-24,46,4
2020-06-25,57,1
2020-06-26,48,0
2020-06-27,32,0
2020-06-28,22,1
2020-06-29,58,1
2020-06-30,52,1
2020-07-01,42,1
2020-07-02,40,2
2020-07-03,38,1
2020-07-04,32,1
2020-07-05,51,3
2020-07-06,54,2
2020-07-07,60,1
2020-07-08,57,3
2020-07-09,54,2
2020-07-10,41,0
2020-07-11,20,3
2020-07-12,38,1
2020-07-13,85,1
2020-07-14,62,0
2020-07-15,76,1
2020-07-16,70,0
2020-07-17,48,2
2020-07-18,47,0
2020-07-19,41,0
2020-07-20,97,0
2020-07-21,81,0
2020-07-22,80,0
2020-07-23,70,2
2020-07-24,83,0
2020-07-25,56,0
2020-07-26,65,0
2020-07-27,100,1
2020-07-28,100,0
2020-07-29,99,0
2020-07-30,102,0
2020-07-31,73,2
2020-08-01,58,2
2020-08-02,75,1
2020-08-03,87,0
2020-08-04,104,0
2020-08-05,113,0
2020-08-06,104,0
2020-08-07,121,0
2020-08-08,55,1
2020-08-09,67,0
2020-08-10,143,0
2020-08-11,149,1
2020-08-12,160,0
2020-08-13,124,2
2020-08-14,126,0
2020-08-15,106,0
2020-08-16,88,0
2020-08-17,189,2
2020-08-18,181,1
2020-08-19,151,0
2020-08-20,204,1
2020-08-21,166,0
2020-08-22,119,1
2020-08-23,144,0
2020-08-24,195,0
2020-08-25,171,1
2020-08-26,164,0
2020-08-27,229,0
2020-08-28,221,0
2020-08-29,139,0
2020-08-30,133,0
2020-08-31,216,1
2020-09-01,314,0
2020-09-02,334,1
2020-09-03,348,1
2020-09-04,355,0
2020-09-05,270,0
2020-09-06,205,2
2020-09-07,463,0
2020-09-08,342,0
2020-09-09,343,0
2020-09-10,391,2
2020-09-11,332,3
2020-09-12,229,0
2020-09-13,112,0
2020-09-14,297,0
2020-09-15,270,1
2020-09-16,292,2
2020-09-17,323,3
2020-09-18,386,1
2020-09-19,338,3
2020-09-20,408,4
2020-09-21,427,4
2020-09-22,519,6
2020-09-23,658,7
2020-09-24,599,2
2020-09-25,602,1
2020-09-26,548,1
2020-09-27,528,1
2020-09-28,742,4
2020-09-29,700,9
2020-09-30,990,6
2020-10-01,1071,5
2020-10-02,1037,3
2020-10-03,791,2
2020-10-04,819,2
2020-10-05,1290,9
2020-10-06,1168,5
2020-10-07,1403,6
2020-10-08,1474,5
2020-10-09,1345,7
2020-10-10,872,5
2020-10-11,741,4
2020-10-12,1572,5
2020-10-13,1422,5
2020-10-14,1622,4
2020-10-15,1720,12
2020-10-16,1653,7
2020-10-17,1107,4
2020-10-18,1295,6
2020-10-19,2335,10
2020-10-20,2316,7
2020-10-21,2350,15
2020-10-22,2169,11
2020-10-23,2001,6
2020-10-24,1432,18
2020-10-25,1290,11
2020-10-26,2524,12
2020-10-27,2085,14
2020-10-28,1964,21
2020-10-29,2008,12
2020-10-30,1873,14
2020-10-31,1383,6
2020-11-01,1200,16
2020-11-02,2906,17
2020-11-03,2127,13
2020-11-04,2046,16
2020-11-05,2088,14
2020-11-06,2113,17
2020-11-07,1646,23
2020-11-08,1757,20
2020-11-09,3074,28
2020-11-10,2722,15
