date,description,url,featured
2020-03-01,"First Case of Coronavirus Confirmed in New York State",https://www.wsj.com/articles/first-case-of-coronavirus-confirmed-in-new-york-state-11583111692,0
2020-03-07,"Governor Cuomo, declares state of emergency.",https://cornellsun.com/2020/03/07/cornell-braces-for-virus-as-upstate-n-y-reports-first-case-of-covid-19-west-coast-colleges-close-classrooms/,0
2020-03-09,"New York State announces it'll begin producing it's own brand of hand sanitizer.",https://www.nbcnewyork.com/news/local/ny-gov-reveals-state-hand-sanitizer-amid-price-gouging-fears/2318446/,0
2020-03-10,"Governor Cuomo, orders a coronavirus containment zone in New Rochelle, Westchester County, NY.",https://www.nytimes.com/2020/03/10/nyregion/coronavirus-new-rochelle-containment-area.html,0
2020-03-13,"Restrictions on mass gatherings in effect, All gatherings of less than 500 people ordered to cut capacity by 50%. All gatherings of more than 500 people ordered to cancel.",https://www.governor.ny.gov/news/during-novel-coronavirus-briefing-governor-cuomo-announces-new-mass-gatherings-regulations,0
2020-03-15,"All New York City schools ordered to close until April 20.",https://www.wsj.com/articles/new-york-city-schools-to-close-over-coronavirus-11584307280,0
2020-03-18,"Governor Cuomo, signs executive order that mandates all but essential business to reduce their workforce density by 50% and have more employees work from home.",https://abcnews.go.com/US/News/timeline-100-days-york-gov-andrew-cuomos-covid/story?id=71292880,0
2020-03-19,"SUNY and CUNY schools suspend in person teaching and move to distance-learning model for the rest of the semester.",https://twitter.com/NYGovCuomo/status/1237803530787991553,0
2020-03-22,"New York State on pause executive order commences, a state-wide stay-at-home order. All non-essential businesses ordered to close and non-essential gatherings canceled.",https://www.governor.ny.gov/news/governor-cuomo-issues-guidance-essential-services-under-new-york-state-pause-executive-order,0
2020-03-23,"New York City surpasses 12,000 cases -- 35% of all COVID-19 cases in the U.S.",https://abcnews.go.com/US/News/timeline-100-days-york-gov-andrew-cuomos-covid/story?id=71292880,0
2020-03-25,"Governor Cuomo and health commissioner, Howard Zucker, issue state advisory that requires nursing homes to accept COVID-19 patients discharged from overwhelmed hospitals.",https://www.propublica.org/article/fire-through-dry-grass-andrew-cuomo-saw-covid-19-threat-to-nursing-homes-then-he-risked-adding-to-it,0
2020-03-28,"All non-essential construction sites ordered to shut down.",https://www.jdsupra.com/legalnews/non-essential-construction-activities-54603/,0
2020-04-14,"The New York City Health Department begins counting probable and not just confirmed COVID-19 deaths. The new policy drives up the nationwide death count by 17%.",https://abcnews.go.com/US/News/timeline-100-days-york-gov-andrew-cuomos-covid/story?id=71292880,0
2020-04-15,"Governor Cuomo, signs executive order requiring all state residents to wear face masks/coverings in public places where social distancing is not possible.",https://www.governor.ny.gov/news/amid-ongoing-covid-19-pandemic-governor-cuomo-issues-executive-order-requiring-all-people-new,0
2020-04-16,"Stay-at-home order and school closures extended to May 15.",https://edition.cnn.com/2020/04/16/us/new-york-coronavirus/index.html,0
2020-05-01,"All schools and universities ordered to remain closed for the remainder of te academic year.",https://www.nytimes.com/2020/05/01/nyregion/coronavirus-new-york-update.html,0
2020-05-06,"NYC subway closures from 1 a.m. to 5 a.m. during the coronavirus pandemic in order to disinfect trains and stations.".,https://www.ny1.com/nyc/all-boroughs/news/2020/04/30/cuomo-announces-mta-to-close-nyc-subway-system-overnight-for-daily-full-cleanings-,0
2020-05-07,"Statewide four-phase reopening plan is first announced.",https://www.nytimes.com/article/new-york-phase-reopening.html,0
2020-05-10,"The state Department of Health rescinds a March 25 order requiring nursing homes to accept elderly COVID-19 patients discharged from hospitals.",https://abcnews.go.com/US/News/timeline-100-days-york-gov-andrew-cuomos-covid/story?id=71292880,0
2020-05-14,"Statewide state of emergency extended to June 13.",https://www.governor.ny.gov/news/no-20231-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,0
2020-05-15,"Finger Lakes, Mohawk Valley, Southern Tier, North Country, and Central New York allowed to begin Phase 1 of the reopening plan and low risk business and recreational activities reopen including Landscaping, Gardening, Tennis & Drive-In-Movie Theaters",https://www.governor.ny.gov/news/amid-ongoing-covid-19-pandemic-governor-cuomo-announces-three-regions-new-york-state-ready,0
