date,cases,deaths
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,1,0
2020-03-04,9,0
2020-03-05,11,0
2020-03-06,3,0
2020-03-07,52,0
2020-03-08,29,0
2020-03-09,33,0
2020-03-10,14,0
2020-03-11,64,1
2020-03-12,80,0
2020-03-13,83,0
2020-03-14,178,4
2020-03-15,76,5
2020-03-16,328,11
2020-03-17,446,14
2020-03-18,1100,25
2020-03-19,1714,28
2020-03-20,3439,55
2020-03-21,2750,52
2020-03-22,4781,54
2020-03-23,5693,102
2020-03-24,4797,124
2020-03-25,5160,157
2020-03-26,6556,235
2020-03-27,7304,272
2020-03-28,7699,353
2020-03-29,7248,382
2020-03-30,7015,412
2020-03-31,9190,489
2020-04-01,14524,636
2020-04-02,10403,727
2020-04-03,10675,761
2020-04-04,10250,787
2020-04-05,10995,910
2020-04-06,9861,1061
2020-04-07,7413,1273
2020-04-08,10211,949
2020-04-09,12071,1050
2020-04-10,11473,921
2020-04-11,8533,922
2020-04-12,8373,938
2020-04-13,7853,1018
2020-04-14,7471,880
2020-04-15,6658,786
2020-04-16,7889,743
2020-04-17,6986,477
2020-04-18,6877,561
2020-04-19,6644,524
2020-04-20,6386,971
2020-04-21,4633,671
2020-04-22,4259,518
2020-04-23,5497,657
2020-04-24,6668,553
2020-04-25,9442,436
2020-04-26,5677,405
2020-04-27,4313,481
2020-04-28,2908,335
2020-04-29,3136,446
2020-04-30,4377,370
2020-05-01,4490,369
2020-05-02,4375,290
2020-05-03,3511,283
2020-05-04,3143,353
2020-05-05,2106,282
2020-05-06,2123,570
2020-05-07,3211,227
2020-05-08,2899,317
2020-05-09,2635,221
2020-05-10,2400,173
2020-05-11,1824,197
2020-05-12,1330,218
2020-05-13,1518,205
2020-05-14,2339,161
2020-05-15,2248,265
2020-05-16,2518,172
2020-05-17,2023,126
2020-05-18,1498,483
2020-05-19,1386,198
2020-05-20,1166,65
2020-05-21,1866,73
2020-05-22,1900,74
2020-05-23,2071,168
