date,description,url,featured
2020-01-23,Australian biosecurity officers begin screening arrivals from Wuhan in Sydney.,https://www.smh.com.au/politics/federal/passengers-arriving-from-chinese-virus-city-will-be-screened-in-sydney-20200121-p53t8t.html,0
2020-01-25,"Authorities confirm that three cases in Sydney and one in Melbourne are the first cases of COVID-19 in Australia. Government advises “do not travel” to Hubei province, China.",https://www.theguardian.com/science/2020/jan/25/coronavirus-five-people-in-nsw-being-tested-for-deadly-disease,0
2020-02-02,Hundreds of Australians are evacuated from Wuhan in a repatriation flight. Travellers from China are barred from entering Australia.,https://www.abc.net.au/news/2020-02-03/coronavirus-escaping-australians-evacuated-from-wuhan-on-flight/11922638,0
2020-02-27,"Prime Minister Scott Morrison announces activation of an emergency plan in response to COVID-19, extends travel ban from China. 14-day isolation required for returning Australians.",https://www.abc.net.au/news/2020-02-27/federal-government-coronavirus-pandemic-emergency-plan/12005734,0
2020-03-01,A man from Perth is the first person in Australian to die as a result of COVID-19.,https://7news.com.au/travel/coronavirus/western-australian-man-becomes-first-person-in-australia-to-die-from-coronavirus-c-723547,0
2020-03-02,Sydney has Australia’s first two cases of COVID-19 community transmission.,https://www.theguardian.com/world/2020/mar/02/coronavirus-first-cases-of-community-transmission-confirmed-in-australia,0
2020-03-03,Sydney’s first COVID-19 death is a woman from an aged care facility. Supermarket panic buying begins.,https://www.health.nsw.gov.au/news/Pages/20200304_03.aspx,0
2020-03-12,The Prime Minister announces $17.6 billion stimulus package to protect the economy from the effects of coronavirus.,https://www.pm.gov.au/media/economic-stimulus-package,0
2020-03-15,The New South Wales Health Minister implements a ban on events of more than 500 people.,https://www.health.nsw.gov.au/news/Pages/20200315_02.aspx,0
2020-03-17,The New South Wales Government announces a $2.3 billion health and economic stimulus package.,https://www.nsw.gov.au/media-releases/23-billion-health-boost-and-economic-stimulus,0
2020-03-18,Prime Minister announces a ban on indoor events of more than 100 people and prohibits international travel. Social distancing of 1.5 metres is encouraged. The Govenor-General declares a biosecurity emergency.,https://concreteplayground.com/sydney/travel-leisure/the-australian-government-has-introduced-an-effective-indefinite-ban-on-all-international-travel,0
2020-03-19,"Passengers disembark from the Ruby Princess cruise ship in Sydney, despite many being sick with COVID-19. This error by health authorities was later determined to have caused the spread of 662 coronavirus cases and death of 28.",https://www.abc.net.au/news/2020-08-14/ruby-princess-coronavirus-inquiry-findings-handed-down/12557714,0
